Date,Price,Open,High,Low,Vol.,Change %
03/06/2025,"2,916.60","2,904.00","2,918.60","2,903.80",0.87K,0.04%
03/05/2025,"2,915.30","2,916.70","2,922.00","2,893.00",0.55K,0.20%
03/04/2025,"2,909.60","2,886.10","2,927.90","2,886.10",0.89K,0.67%
03/03/2025,"2,890.20","2,872.70","2,891.80","2,863.40",0.42K,1.88%
02/28/2025,"2,836.80","2,877.10","2,877.10","2,834.10",0.99K,-1.61%
02/27/2025,"2,883.20","2,918.50","2,922.80","2,870.40",3.21K,-1.15%
02/26/2025,"2,916.80","2,913.50","2,917.00","2,913.00",2.05K,0.42%
02/25/2025,"2,904.50","2,938.70","2,943.20","2,890.00",1.85K,-1.47%
02/24/2025,"2,947.90","2,933.10","2,957.90","2,933.10",0.41K,0.35%
02/21/2025,"2,937.60","2,938.80","2,940.00","2,917.30",0.57K,-0.08%
02/20/2025,"2,940.00","2,949.10","2,955.80","2,924.20",0.66K,0.71%
02/19/2025,"2,919.40","2,938.70","2,946.00","2,917.10",2.63K,-0.42%
02/18/2025,"2,931.60","2,879.20","2,936.40","2,873.80",4.01K,1.66%
02/14/2025,"2,883.60","2,937.30","2,944.40","2,874.80",1.99K,-1.45%
02/13/2025,"2,925.90","2,911.30","2,937.70","2,910.60",4.67K,0.58%
02/12/2025,"2,909.00","2,902.00","2,912.30","2,868.60",2.50K,-0.12%
02/11/2025,"2,912.50","2,925.50","2,945.40","2,890.00",2.55K,-0.06%
02/10/2025,"2,914.30","2,864.20","2,916.10","2,863.80",2.24K,1.64%
02/07/2025,"2,867.30","2,859.90","2,889.50","2,857.80",1.82K,0.40%
02/06/2025,"2,856.00","2,865.20","2,871.70","2,836.30",3.12K,-0.54%
02/05/2025,"2,871.60","2,850.00","2,880.50","2,848.00",4.52K,0.64%
02/04/2025,"2,853.30","2,827.60","2,853.30","2,816.10",2.19K,0.68%
02/03/2025,"2,833.90","2,818.20","2,848.40","2,780.90",2.65K,0.76%
01/31/2025,"2,812.50","2,829.00","2,838.00","2,804.00",3.44K,-0.37%
01/30/2025,"2,823.00","2,772.50","2,829.50","2,770.00",40.14K,1.95%
01/29/2025,"2,769.10","2,769.10","2,769.10","2,769.10",125.69K,0.08%
01/28/2025,"2,766.80","2,738.00","2,766.80","2,738.00",2.31K,1.07%
01/27/2025,"2,737.50","2,761.10","2,762.20","2,737.50",0.98K,-1.43%
01/24/2025,"2,777.30","2,759.80","2,792.00","2,759.80",1.59K,0.51%
01/23/2025,"2,763.10","2,760.00","2,765.00","2,745.40",2.20K,-0.16%
01/22/2025,"2,767.60","2,754.50","2,768.80","2,753.50",2.08K,0.46%
01/21/2025,"2,755.00","2,746.00","2,755.00","2,724.80",1.44K,0.39%
01/17/2025,"2,744.30","2,736.00","2,751.60","2,725.50",1.21K,-0.08%
01/16/2025,"2,746.40","2,731.70","2,749.80","2,731.70",1.72K,1.25%
01/15/2025,"2,712.50","2,690.80","2,712.50","2,690.80",0.93K,1.31%
01/14/2025,"2,677.50","2,673.60","2,688.30","2,670.80",0.79K,0.15%
01/13/2025,"2,673.50","2,711.10","2,711.20","2,673.50",0.77K,-1.29%
01/10/2025,"2,708.50","2,686.10","2,720.10","2,683.70",0.40K,0.92%
01/09/2025,"2,683.80","2,669.70","2,686.30","2,667.90",1.14K,0.72%
01/08/2025,"2,664.50","2,655.50","2,676.90","2,653.50",1.00K,0.29%
01/07/2025,"2,656.70","2,653.40","2,657.50","2,653.00",0.64K,0.69%
01/06/2025,"2,638.40","2,645.50","2,647.00","2,617.30",0.96K,-0.25%
01/03/2025,"2,645.00","2,658.70","2,658.70","2,641.80",0.59K,-0.52%
01/02/2025,"2,658.90","2,633.00","2,663.10","2,633.00",1.73K,1.13%
12/31/2024,"2,629.20","2,608.40","2,629.20","2,604.90",0.40K,0.89%
12/30/2024,"2,606.10","2,620.70","2,626.90","2,597.00",0.79K,-0.42%
12/27/2024,"2,617.20","2,617.70","2,617.70","2,616.40",0.64K,-0.82%
12/26/2024,"2,638.80","2,628.50","2,638.80","2,627.90",0.08K,0.72%
12/24/2024,"2,620.00","2,613.00","2,620.00","2,609.50",0.04K,0.29%
12/23/2024,"2,612.30","2,620.00","2,627.70","2,611.10",0.45K,-0.62%
12/20/2024,"2,628.70","2,605.30","2,631.60","2,604.90",0.59K,1.41%
12/19/2024,"2,592.20","2,582.10","2,610.30","2,582.10",0.24K,-1.68%
12/18/2024,"2,636.50","2,644.30","2,647.10","2,590.20",0.57K,-0.30%
12/17/2024,"2,644.40","2,651.80","2,652.30","2,632.50",0.70K,-0.26%
12/16/2024,"2,651.40","2,658.30","2,663.30","2,651.00",0.88K,-0.17%
12/13/2024,"2,656.00","2,688.20","2,689.30","2,647.90",1.12K,-1.17%
12/12/2024,"2,687.50","2,725.10","2,725.10","2,677.40",2.37K,-1.69%
12/11/2024,"2,733.80","2,701.80","2,733.80","2,693.10",3.39K,1.34%
12/10/2024,"2,697.60","2,662.30","2,698.20","2,661.00",0.44K,1.23%
12/09/2024,"2,664.90","2,632.10","2,677.10","2,630.80",0.94K,1.00%
12/06/2024,"2,638.60","2,620.20","2,643.10","2,617.50",0.57K,0.46%
12/05/2024,"2,626.60","2,652.40","2,655.00","2,625.70",0.57K,-1.02%
12/04/2024,"2,653.80","2,639.20","2,658.30","2,637.00",0.25K,0.34%
12/03/2024,"2,644.70","2,639.00","2,654.70","2,636.00",1.06K,0.37%
12/02/2024,"2,634.90","2,649.00","2,649.80","2,621.70",0.69K,-0.83%
11/29/2024,"2,657.00","2,636.40","2,664.30","2,620.70",3.86K,0.65%
11/27/2024,"2,639.90","2,633.50","2,657.90","2,627.20",61.65K,0.75%
11/26/2024,"2,620.30","2,625.60","2,625.60","2,620.30",177.86K,0.13%
11/25/2024,"2,616.80","2,689.40","2,689.40","2,616.80",0.09K,-3.44%
11/22/2024,"2,709.90","2,687.50","2,710.50","2,685.60",0.04K,1.41%
11/21/2024,"2,672.10","2,659.30","2,672.10","2,655.70",0.03K,0.90%
11/20/2024,"2,648.20","2,638.50","2,648.20","2,638.50",0.03K,0.80%
11/19/2024,"2,627.10","2,621.90","2,627.70","2,619.30",0.09K,0.63%
11/18/2024,"2,610.60","2,591.70","2,610.70","2,589.40",0.14K,1.75%
11/15/2024,"2,565.70","2,565.70","2,565.70","2,565.70",0.02K,-0.10%
11/14/2024,"2,568.20","2,555.10","2,576.20","2,554.20",0.03K,-0.49%
11/13/2024,"2,580.80","2,611.10","2,611.80","2,580.80",0.05K,-0.74%
11/12/2024,"2,600.00","2,605.50","2,605.50","2,592.80",0.12K,-0.43%
11/11/2024,"2,611.20","2,671.70","2,671.70","2,611.20",0.02K,-2.84%
11/08/2024,"2,687.50","2,688.50","2,694.60","2,682.90",1.04K,-0.40%
11/07/2024,"2,698.40","2,662.50","2,699.10","2,662.50",0.68K,1.15%
11/06/2024,"2,667.60","2,734.50","2,734.50","2,659.40",0.43K,-2.65%
11/05/2024,"2,740.30","2,743.00","2,743.90","2,740.30",0.02K,0.15%
11/04/2024,"2,736.10","2,736.50","2,737.10","2,736.10",0.02K,-0.09%
11/01/2024,"2,738.60","2,745.50","2,756.00","2,734.20",0.11K,0.01%
10/31/2024,"2,738.30","2,787.40","2,787.50","2,733.50",0.85K,-1.80%
10/30/2024,"2,788.50","2,774.60","2,789.00","2,774.60",0.23K,0.73%
10/29/2024,"2,768.40","2,768.40","2,768.40","2,768.40",0.85K,0.93%
10/28/2024,"2,742.90","2,736.10","2,742.90","2,729.50",0.06K,0.07%
10/25/2024,"2,740.90","2,725.50","2,742.40","2,725.50",0.03K,0.22%
10/24/2024,"2,734.90","2,729.00","2,736.10","2,729.00",0.03K,0.76%
10/23/2024,"2,714.40","2,742.50","2,742.50","2,714.20",0.02K,-1.09%
10/22/2024,"2,744.20","2,731.70","2,746.00","2,728.60",0.09K,0.77%
10/21/2024,"2,723.10","2,721.90","2,738.40","2,719.50",0.05K,0.35%
10/18/2024,"2,713.70","2,713.70","2,719.60","2,713.70",0.03K,0.84%
